Region,Year,Gender,Average Suicide Rate
Western Pacific,2009,Male,20.00952380952381
Western Pacific,2010,Both sexes,13.008571428571429
Western Pacific,2010,Female,6.3171428571428585
Western Pacific,2010,Male,19.971428571428568
Western Pacific,2011,Both sexes,12.89380952380952
Western Pacific,2011,Female,6.136666666666667
Western Pacific,2011,Male,19.905714285714282
Western Pacific,2012,Both sexes,12.680476190476188
Western Pacific,2012,Female,6.101428571428571
Western Pacific,2012,Male,19.484285714285715
Western Pacific,2013,Both sexes,12.444761904761906
Western Pacific,2013,Female,5.911428571428572
Western Pacific,2013,Male,19.20428571428571
Western Pacific,2014,Both sexes,12.228571428571426
Western Pacific,2014,Female,5.709999999999999
Western Pacific,2014,Male,18.954285714285714
Western Pacific,2015,Both sexes,12.164285714285715
Western Pacific,2015,Female,5.664285714285715
Western Pacific,2015,Male,18.878095238095234
Western Pacific,2016,Both sexes,12.02761904761905
Western Pacific,2016,Female,5.550000000000001
Western Pacific,2016,Male,18.69333333333333
Western Pacific,2017,Both sexes,12.039047619047617
Western Pacific,2017,Female,5.497142857142857
Western Pacific,2017,Male,18.76809523809524
Western Pacific,2018,Both sexes,11.948095238095238
Western Pacific,2018,Female,5.49047619047619
Western Pacific,2018,Male,18.572380952380954
Western Pacific,2019,Both sexes,11.845714285714287
Western Pacific,2019,Female,5.523809523809524
Western Pacific,2019,Male,18.33285714285714
